"","USOXcod","USOX.","Species","Year.x","Date","Location.x","Delta.13C","C.Amount..ug.","Delta.15N","N.Amount..ug.","Delta.S","label1","dC_Ala","dC_Val","dC_Gly","dC_Ile","dC_Leu","dC_Pro","dC_Asp","dC_Phe","dC_Glu","dC_Lys","dN_Ala","dN_Asp","dN_Glu","dN_Gly","dN_Ile","dN_Leu","dN_Lys","dN_Phe","dN_Pro","dN_Val","Essential","Non.essential","XXX","SPCODE","code2","d18O","d13C","d15N","C.N","d34S","AASIA","VVV","code1","d13Ccor","Year","decade","labSPgeo"
"161","a15715","K06-15715","RHAU","2006","30-May-06","Lucy Island",-25.1,633.42,13.33,79.94,9.8203,81,-18.385,-20.281,-6.41,-18.277,-25.865,-3.651,-11.865,-26.375,-22.167,-19.614,23.549,17.321,29.487,18.26,24.041,23.492,5.918,6.607,30.575,27.798,-22.6995,-6.41,24.9832,"ra15715","ra",NA,-25.0956094,13.33257424,7.923882599,9.820344064,22.88,7.070074237,"a15715",-22.9798497629345,2006,"1990-2006","RHAU.N"
"163","a15717","K06-15717","RHAU","2006","30-May-06","Lucy Island",-20.08,635.57,13.78,66.91,16.4052,82,-15.191,-17.154,-4.288,-10.034,-22.367,-0.763,-9.91,-21.088,-15.53,-14.582,22.888,19.385,23.117,15.076,23.946,22.985,8.717,7.839,32.398,26.624,-17.66075,-4.288,24.3662,"ra15717","ra",NA,-20.07840129,13.77606139,9.498691917,16.40520868,15.278,5.498061392,"a15717",-17.3834383270601,2006,"1990-2006","RHAU.N"
"166","a15720","K06-15720","RHAU","2006","30-May-06","Pine Island",-22.71,586.77,11.92,63.49,17.79,87,-16.341,-19.581,-5.413,-12.945,-25.2,-6.513,-14.211,-24.288,-18.573,-18.534,21.789,16.082,24.485,14.212,21.071,21.288,7.128,4.446,29.201,23.732,-20.5035,-5.413,22.4254,"ra15720","ra",NA,-22.71280075,11.92014189,9.241386958,17.79202536,20.039,6.133141886,"a15720",-20.1006179558683,2006,"1990-2006","RHAU.M"
"167","a15721","K06-15721","RHAU","2006","30-May-06","Pine Island",-22.41,583.19,12.18,68.05,17.54,88,-17.703,-20.132,-7.615,-12.319,-25.746,-7.668,-14.463,-23.812,-17.831,-16.989,21.869,16.515,27.921,14.155,20.044,20.549,2.337,5.138,29.482,23.913,-20.50225,-7.615,22.9022,"ra15721","ra",NA,-22.41228217,12.18243401,8.570107069,17.54290263,22.783,8.444934008,"a15721",-20.0405722068396,2006,"1990-2006","RHAU.M"
"168","a15722","K06-15722","RHAU","2006","30-May-06","Pine Island",-22.22,639.16,12.66,71.46,17.56,86,-14.933,-18.56,-3.298,-12.594,-24.647,-4.375,-10.024,-23.341,-17.518,-15.015,22.217,17.116,23.422,12.966,21.601,20.45,7.81,6.121,30.253,23.857,-19.7855,-3.298,22.5684,"ra15722","ra",NA,-22.21571307,12.65658434,8.944880318,17.5644708,17.301,5.69108434,"a15722",-19.7146790621261,2006,"1990-2006","RHAU.M"
"397","a31747","31747","PECO","1973",NA,"Mandarte Island",-17.89,564.06,13.89,77.43,16.52,14,-12.471,-14.104,2.557,-11.369,-18.523,-8.895,-7.242,-20.759,-14.372,-10.19,23.546,19.895,24.788,15.077,22.965,22.994,6.702,8.381,29.349,25.746,-16.18875,2.557,23.9982,"PC31747","PC",NA,-17.8938694,13.88705856,7.285069451,16.51527897,16.407,6.345558555,"a31747",-16.0371145593614,1973,"1970-1989","PECO"
"398","a31749","31749","PECO","1973",NA,"Mandarte Island",-18.67,632.34,14.64,93,15.9,13,-15.633,-17.886,-2.065,-14.074,-21.17,-11.321,-9.486,-22.483,-15.213,-12.766,24.36,18.676,25.323,13.799,24.904,22.638,5.074,6.521,30.816,28.313,-18.90325,-2.065,24.4714,"PC31749","PC",NA,-18.6681522,14.63746927,6.799651486,15.90226795,18.802,NA,"a31749",-17.036336389581,1973,"1970-1989","PECO"
"399","a31751","31751","PECO","1973",NA,"Mandarte Island",-18.1,534.89,13.6,91.89,15.98,15,-13.905,-16.288,-0.325,-12.462,-20.42,-10.25,-8.466,-21.692,-15.141,-11.974,21.185,18.808,24.945,11.49,21.123,21.629,7.707,7.219,29.144,23.835,-17.7155,-0.325,23.1298,"PC31751","PC",NA,-18.10406873,13.60119727,5.820960859,15.9836279,17.726,6.138197271,"a31751",-16.9602276174712,1973,"1970-1989","PECO"
"400","a31753","31753","PECO","1973",NA,"Mandarte Island",-18.54,540.58,12.83,81.34,15.91,16,-13.769,-15.047,2.705,-10.711,-19.582,-7.738,-9.336,-20.671,-15.287,-11.784,20.1,16.91,22.708,11.28,18.723,19.121,6.668,6.115,27.961,22.342,-16.50275,2.705,21.0846,"PC31753","PC",NA,-18.54452937,12.83074671,6.646097442,15.91210631,16.593,6.439246707,"a31753",-16.9788915010428,1973,"1970-1989","PECO"
"401","a31755","31755","DCCO","1973",NA,"Mandarte Island",-17.3,543.01,15.28,73.68,15.73,25,-14.674,-14.137,-2.347,-8.696,-20.205,-7.683,-14.315,-21.692,-15.989,-14.803,23.035,24.435,23.453,15.276,22.988,23.301,7.953,8.545,27.454,25.631,-16.1825,-2.347,24.3262,"DC31755","DC",NA,-17.30356318,15.28332349,7.370199546,15.72743455,14.908,7.034323492,"a31755",-15.4102058999952,1973,"1970-1989","DCCO"
