"","USOXcod","USOX.","Species","Year.x","Date","Location.x","Delta.13C","C.Amount..ug.","Delta.15N","N.Amount..ug.","Delta.S","label1","dC_Ala","dC_Val","dC_Gly","dC_Ile","dC_Leu","dC_Pro","dC_Asp","dC_Phe","dC_Glu","dC_Lys","dN_Ala","dN_Asp","dN_Glu","dN_Gly","dN_Ile","dN_Leu","dN_Lys","dN_Phe","dN_Pro","dN_Val","Essential","Non.essential","XXX","SPCODE","code2","d18O","d13C","d15N","C.N","d34S","AASIA","VVV","code1","d13Ccor","Year","decade","labSPgeo"
"508","a46712","46712","PECO","1990",NA,"Mandarte Island",-18.67,571.88,13.66,78.55,16.32,6,-14.351,-14.753,0.461,-11.014,-21.18,-7.65,-9.966,-21.623,-15.862,-13.418,23.8,19.17,23.177658,15.798,23.397,23.148,7.567,6.696,29.894,26.295,-17.1425,0.461,23.7573316,"PC46712","PC",NA,-18.66602524,13.66454853,7.280887268,16.3171101,16.481658,6.533048526,"a46712",-16.8189981759819,1990,"1990-2006","PECO"
"544","a67847","L94-67847","DCCO","1994","17-Jun-94","Mandarte Island",-24.64,533.15,11.22,58.32,15.93,37,-10.987,-12.912,1.536,-9.278,-17.918,-5.96,-9.466,-19.693,-12.931,-10.566,24.246,22.328,26.333,14.883,22.664,22.814,7.329,7.088,29.288,26.104,-14.95025,1.536,24.6854,"DC67847","DC",NA,-24.63869859,11.21788033,9.141584078,15.92994381,19.245,NA,"a67847",-22.0652465049322,1994,"1990-2006","DCCO"
"545","a67849","L94-67849","DCCO","1994","17-Jun-94","Mandarte Island",-14.19,595.94,15.96,107.32,13.32,38,-10.267,-11.22,2.139,-7.957,-16.11,-5.349,-10.139,-18.345,-12.125,-9.765,22.711,22.947,27.094,15.858,22.195,22.671,7.486,7.267,27.755,25.971,-13.408,2.139,24.5324,"DC67849","DC",NA,-14.19306806,15.96158884,5.552805416,13.31541734,19.827,8.585088835,"a67849",-13.2000998924328,1994,"1990-2006","DCCO"
"546","a67853","L94-67853","DCCO","1994","17-Jun-94","Mandarte Island",-15.79,422.36,15.1,66.27,9.9,39,-8.365,-10.304,4.986,-7.145,-15.507,-3.733,-6.586,-17.174,-11.283,-8.549,23.812,20.598,25.021,15.545,21.541,21.14,5.977,7.637,26.831,24.976,-12.5325,4.986,23.0262,"DC67853","DC",NA,-15.78730093,15.10058616,6.373069158,9.89818017,17.384,NA,"a67853",-14.3620422662918,1994,"1990-2006","DCCO"
"549","a67882","L94-67882","PECO","1994","21-Jun-94","Mandarte Island",-18.97,645.85,13.41,103.99,15.92,4,-15.631,-16.235,-2.994,-12.339,-22.593,-8.999,-12.104,-23.202,-16.795,-13.009,21.964,17.626,22.5348496,13.493,21.158,21.431,5.786,7.903,30.961,24.219,-18.59225,-2.994,22.74216992,"PECO67882","PE",NA,-18.97246434,13.41344761,6.21084183,15.91576318,14.6318496,6.568947609,"a67882",-17.6242145726218,1994,"1990-2006","PECO"
"553","a67891","L94-67891","PECO","1994","21-Jun-94","Mandarte Island",-16.56,578.28,14.57,87.46,16.13,3,-12.605,-13.954,0.351,-10.485,-19.589,-5.972,-5.94,-19.687,-13.077,-9.728,23.221,17.395,25.7118065,16.713,23.091,22.035,5.756,7.623,30.547,24.446,-15.92875,0.351,23.7559613,"PECO67891","PE",NA,-16.56278383,14.57053074,6.611992962,16.12510261,18.0888065,7.881030742,"a67891",-15.0151939208312,1994,"1990-2006","PECO"
"574","a74751","L96-74751","ANMU","1996","4-May-96","Langara Island",-20.55,683.17,12.5,75.79,16.07,53,-14.8,-19.312,-12.037,-14.585,-23.223,-10.602,-9.209,-23.299,-16.939,-13.937,21.619,16.743,20.40457246,12.749,18.409,19.21,5.974,5.876,26.082,23.043,-20.10475,-12.037,20.16971449,"am74751","am",NA,-20.55178423,12.50127981,9.014070218,16.07240584,14.52857246,6.57627981,"a74751",-18.0200084392173,1996,"1990-2006","ANMU"
"576","a74756","L96-74756","ANMU","1996","4-May-96","Langara Island",-20.54,601.6,12.7,68.39,16.26,46,-14.083,-19.804,-10.599,-14.311,-23.94,-13.925,-9.617,-23.917,-15.488,-13.781,21.554,19.126,26.399,11.562,22.251,23.889,4.459,5.88,23.719,26.565,-20.493,-10.599,23.0768,"am74756","am",NA,-20.54205396,12.6978989,8.796663297,16.2624277,20.519,7.528398898,"a74756",-18.0876125614139,1996,"1990-2006","ANMU"
"580","a81725","L98-81725","DCCO","1998","2-Jul-98","Mandarte Island",-15.98,562.05,14.62,92.12,14.21,42,-10.385,-12.491,2.806,-8.291,-17.295,-5.272,-7.832,-18.661,-12.774,-9.592,22.008,20.016,26.968,14.796,21.066,20.541,7.088,6.555,27.545,23.835,-14.1845,2.806,23.2272,"DC81725","DC",NA,-15.97714699,14.62123531,6.101357678,14.21246151,20.413,7.799735306,"a81725",-14.6907181126847,1998,"1990-2006","DCCO"
"581","a81727","L98-81727","DCCO","1998","2-Jul-98","Mandarte Island",-16.23,541.6,14.78,71.03,9.81,44,-10.561,-12.548,3.696,-9.061,-17.915,-6.342,-9.69,-19.177,-13.107,-10.643,21.527,21.45,26.546,18.046,23.127,21.144,7.243,7.482,26.295,25.401,-14.67525,3.696,23.7124,"DC81727","DC",NA,-16.2319508,14.77910708,7.624546564,9.810723476,19.064,7.416607079,"a81727",-14.2320263238432,1998,"1990-2006","DCCO"
"594","a83158","L99-83158","ANMU","1999","1-May-99","Langara Island",-21.5,617.17,11.64,67.86,16.88,51,-16.156,-20.811,-5.954,-15.878,-24.453,-12.038,-9.768,-24.151,-17.105,-15.696,19.865,16.483,24.24786329,10.251,16.826,17.994,5.187,4.809,25.297,21.783,-21.32325,-5.954,20.16957266,"am83158","am",NA,-21.49963998,11.63821619,9.094688682,16.88418076,19.43886329,6.640216192,"a83158",-18.9416502314607,1999,"1990-2006","ANMU"
"595","a83159","L99-83159","ANMU","1999","1-May-99","Langara Island",-21.51,565.57,11.43,57.26,16.61,52,-15.831,-21.181,-11.056,-16.945,-25.117,-12.341,-13.052,-24.412,-17.661,-15.197,17.65,14.657,18.8022795,11.268,13.764,21.076,5.496,4.18,24.605,18.398,-21.91375,-11.056,18.5808559,"am83159","am",NA,-21.51184068,11.43132858,9.877212807,16.60516783,14.6222795,6.593328579,"a83159",-18.6892716457623,1999,"1990-2006","ANMU"
